orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Definite,PronType,Aspect,Degree
’,’,ά,',’,’,-20.0,CCONJ,C-,,dep,0.0,φήσει,(),False,’,False,True,False,False,,,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,χρῆται,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,
γῆς,γῆς,γῆ,γῆς,ῆς,γ,-20.0,NOUN,n-s---fg-,Case=Gen|Gender=Fem|Number=Sing,nmod,0.0,βώλοις,(),False,xx͂x,False,False,False,False,Gen,Fem,Sing,,,,,,,,,
βώλοις,βώλοις,βώλος,βώλοις,οις,β,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,χρῆται,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,,,
σιτίῳ,σιτίῳ,σιτίῳ,σιτίῳ,́ῳ,σ,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,χρῆται,(),False,xxxx́xͅ,False,False,False,False,Dat,Neut,Sing,,,,,,,,,
χρῆται,χρῆται,χρῆται,χρῆται,ται,χ,-20.0,VERB,V-,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,dep,0.0,φήσει,(),False,xxx͂xxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,τρίτον,(),False,",",False,True,False,False,,,,,,,,,,,,
τρίτον,τρίτον,τρίτος,τρίτον,τον,τ,-20.0,ADJ,Mo,Case=Acc|Gender=Neut|Number=Sing,dep,0.0,φήσει,(),False,xxx́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,C-,,cc,0.0,φήσει,(),False,xx̀,False,False,False,False,,,,,,,,,,,,
’,’,ά,',’,’,-20.0,CCONJ,C-,,dep,0.0,φήσει,(),False,’,False,True,False,False,,,,,,,,,,,,
ὅτι,ὅτι,ὅτι,ὅτι,́τι,ο,-20.0,SCONJ,G-,,mark,0.0,ἐπιφέρεται,(),False,x̔́xx,False,False,False,False,,,,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Definite=Def|Gender=Masc|Number=Sing|PronType=Dem,det,0.0,ἰὸν,(),False,xx̀x,False,False,False,False,Acc,Masc,Sing,,,,,,Def,Dem,,
ἰὸν,ἰὸν,ἰὸν,ἰὸν,ὸν,ι,-20.0,NOUN,n-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἐπιφέρεται,(),False,x̓x̀x,False,False,False,False,Acc,Masc,Sing,,,,,,,,,
ἐπιφέρεται,ἐπιφέρεται,ἐπιφέρω,ἐπιφέρεται,ται,ε,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,dep,0.0,φήσει,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,ὀδοῦσιν,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,,,
ὀδοῦσιν,ὀδοῦσιν,ὀδοῦ,ὀδοῦσιν,σιν,ο,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,iobj,0.0,ἐπιφέρεται,(),False,x̓xxx͂xxx,False,False,False,False,Dat,Masc,Plur,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,πέφυκεν,(),False,",",False,True,False,False,,,,,,,,,,,,
ᾧ,ᾧ,ᾧ,ᾧ,̔͂ͅ,ω,-20.0,PRON,p-s---md-,Case=Dat|Gender=Masc|Number=Sing,obj,0.0,πέφυκεν,(),False,x̔͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,,
τοὺς,τοὺς,τοὺς,τοὺς,ὺς,τ,-20.0,DET,l-p---ma-,Case=Acc|Gender=Masc|Number=Plur,det,0.0,δηχθέντας,(),False,xxx̀x,False,False,False,False,Acc,Masc,Plur,,,,,,,,,
δηχθέντας,δηχθέντας,δηχθέντας,δηχθέντας,τας,δ,-20.0,VERB,v-pappma-,Case=Acc|Gender=Masc|Number=Plur|Tense=Past|VerbForm=Part|Voice=Pass,xcomp,0.0,πέφυκεν,(),False,xxxx́xxxx,False,False,False,False,Acc,Masc,Plur,Past,Part,Pass,,,,,,
ἀναιρεῖν,ἀναιρεῖν,ἀναιρεῖν,ἀναιρεῖν,ῖν,α,-20.0,VERB,V-,Tense=Pres|VerbForm=Inf|Voice=Act,xcomp,0.0,πέφυκεν,(),False,x̓xxxx͂x,False,False,False,False,,,,Pres,Inf,Act,,,,,,
πέφυκεν,πέφυκεν,πέφυκα,πέφυκεν,κεν,π,-20.0,VERB,v3sria---,Aspect=Perf|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,acl,0.0,ἐπιφέρεται,(),False,xx́xxxx,False,False,False,False,,,Sing,Past,Fin,Act,Ind,3,,,Perf,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,φήσει,(),False,.,False,True,False,False,,,,,,,,,,,,
