orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Definite,PronType,Degree
ὀλιγόδειαν,ὀλιγόδειαν,ὀλιγόδεια,ὀλιγόδειαν,ιαν,ο,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,conj,0.0,εὐτέλειαν,"(εὐτέλειαν, βίῳ)",False,x̓xxxx́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,εὐτέλειαν,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
ὅσον,ὅσον,ὅσος,ὅσον,σον,ο,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,ἀναγκαῖον,(),False,x̔́xxx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
ἀναγκαῖον,ἀναγκαῖον,ἀναγκαῖος,ἀναγκαῖον,͂ον,α,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,amod,0.0,βίῳ,(),False,x̓xxxx͂xx,False,False,False,False,Acc,Neut,Sing,,,,,,,,,
φιλαυστήρῳ,φιλαυστήρῳ,φιλαυστήρῳ,φιλαυστήρῳ,ρῳ,φ,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,nmod,0.0,βίῳ,"(σεμνῷ,)",False,xxxx́xxͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,φιλαυστήρῳ,(),False,xxx̀,False,False,False,False,,,,,,,,,,,,
σεμνῷ,σεμνῷ,σεμνῷ,σεμνῷ,ῷ,σ,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,conj,0.0,φιλαυστήρῳ,"(φιλαυστήρῳ,)",False,xxxx͂ͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,,
βίῳ,βίῳ,βίῳ,βίῳ,́ῳ,β,-20.0,NOUN,n-s---md-,Case=Dat|Gender=Masc|Number=Sing,conj,0.0,εὐτέλειαν,"(εὐτέλειαν, ὀλιγόδειαν)",False,xx́xͅ,False,False,False,False,Dat,Masc,Sing,,,,,,,,,
διαφερόντως,διαφερόντως,διαφερόντως,διαφερόντως,τως,δ,-20.0,ADV,d--------,,advmod,0.0,ἀσπάζεται,(),False,xxxx́xxxx,False,False,False,False,,,,,,,,,,,,
ἀσπάζεται,ἀσπάζεται,ἀσπάζομαι,ἀσπάζεται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἀσπάζεται,"(συμβέβηκε,)",False,x̓xxx́xxxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Mid,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἡ,(),False,",",False,True,False,False,,,,,,,,,,,,
ἡ,ἡ,ἡ,ἡ,ἡ,η,-20.0,DET,l-s---fn-,Case=Nom|Gender=Fem|Number=Sing,det,0.0,συμβέβηκε,(),False,x̔,False,False,False,False,Nom,Fem,Sing,,,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,CCONJ,c--------,,cc,0.0,ἀσπάζεται,(),False,xx̀,False,False,False,False,,,,,,,,,,,,
