orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Mood,Person,Tense,VerbForm,Voice,Aspect,Degree,PronType
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,κακίαι,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,,,
κακίαι,κακίαι,κακία,κακίαι,́αι,κ,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nsubj,0.0,φράσαι,"(πράξεις,)",False,xxxx́xx,False,False,False,False,Nom,Fem,Plur,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,κακίαι,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
αἱ,αἱ,αἱ,αἱ,αἱ,α,-20.0,DET,l-p---fn-,Case=Nom|Gender=Fem|Number=Plur,det,0.0,πράξεις,(),False,xx̔,False,False,False,False,Nom,Fem,Plur,,,,,,,,
κατά,κατά,κατά,κατά,τά,κ,-20.0,ADP,r--------,,case,0.0,αὐτὰς,(),False,xxxx́,False,False,False,False,,,,,,,,,,,
’,’,ά,',’,’,-20.0,ADP,r--------,,case,0.0,αὐτὰς,(),False,’,False,True,False,False,,,,,,,,,,,
αὐτὰς,αὐτὰς,αὐτὰς,αὐτὰς,ὰς,α,-20.0,PRON,p-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,ἀνήνυτοι,(),False,xx̓xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,,
ἀνήνυτοι,ἀνήνυτοι,ἀνήνυτος,ἀνήνυτοι,τοι,α,-20.0,ADJ,a-p---fn-,Case=Nom|Gender=Fem|Number=Plur,nmod,0.0,πράξεις,(),False,x̓xx́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,,,
πράξεις,πράξεις,πράξεις,πράξεις,εις,π,-20.0,NOUN,n-p---fn-,Case=Nom|Gender=Fem|Number=Plur,conj,0.0,κακίαι,"(κακίαι,)",False,xxx́xxxx,False,False,False,False,Nom,Fem,Plur,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀνῃρημένου,(),False,",",False,True,False,False,,,,,,,,,,,
ἀνῃρημένου,ἀνῃρημένου,ἀνῃρημένου,ἀνῃρημένου,νου,α,-20.0,VERB,v-srpemg-,Aspect=Perf|Case=Gen|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Mid,advcl,0.0,ἐξευμαρισθεῖεν,(),False,x̓xxͅxxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,Past,Part,Mid,Perf,,
μὲν,μὲν,μὲν,μὲν,ὲν,μ,-20.0,ADV,d--------,,advmod,0.0,ἀνῃρημένου,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πολέμου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,,
πολέμου,πολέμου,πολέμου,πολέμου,μου,π,-20.0,NOUN,n-s---mg-,Case=Gen|Gender=Masc|Number=Sing,nsubj,0.0,ἀνῃρημένου,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Sing,,,,,,,,
τοῦ,τοῦ,τοῦ,τοῦ,οῦ,τ,-20.0,DET,l-s---mg-,Case=Gen|Gender=Masc|Number=Sing,det,0.0,πολέμου,(),False,xxx͂,False,False,False,False,Gen,Masc,Sing,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ψυχήν,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,
ψυχήν,ψυχήν,ψυχή,ψυχήν,ήν,ψ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,πολέμου,(),False,xxxx́x,False,False,False,False,Acc,Fem,Sing,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀργαλεώτατος,(),False,",",False,True,False,False,,,,,,,,,,,
ὃς,ὃς,οσ̔̀ς,ὃς,̔̀ς,ο,-20.0,PRON,p-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,ἀργαλεώτατος,(),False,x̔̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ἀψευδῶς,ἀψευδῶς,ἀψευδῶς,ἀψευδῶς,ῶς,α,-20.0,ADV,d--------,,advmod,0.0,ἀργαλεώτατος,(),False,x̓xxxx͂x,False,False,False,False,,,,,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,ἀργαλεώτατος,(),False,x̓xxx,False,False,False,False,,,Sing,Ind,3,Pres,Fin,Act,,,
πολέμων,πολέμων,πολέμ,πολέμων,μων,π,-20.0,NOUN,n-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,ἀργαλεώτατος,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,,,,,,,,
ἀργαλεώτατος,ἀργαλεώτατος,ἀργαλεώς,ἀργαλεώτατος,τος,α,-20.0,ADJ,a-s---mns,Case=Nom|Degree=Sup|Gender=Masc|Number=Sing,appos,0.0,ἀνῃρημένου,"(βαρύτατος,)",False,x̓xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,Sup,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,ἀργαλεώτατος,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
βαρύτατος,βαρύτατος,βαρύτατος,βαρύτατος,τος,β,-20.0,ADJ,a-s---mns,Case=Nom|Degree=Sup|Gender=Masc|Number=Sing,conj,0.0,ἀργαλεώτατος,"(ἀργαλεώτατος,)",False,xxxx́xxxx,False,False,False,False,Nom,Masc,Sing,,,,,,,Sup,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,εἰρήνης,(),False,",",False,True,False,False,,,,,,,,,,,
