orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Mood,Person,Aspect,PronType
γένους,γένους,γένος,γένους,ους,γ,-20.0,NOUN,n-s---ng-,Case=Gen|Gender=Neut|Number=Sing,nmod,0.0,ὠφελείᾳ,(),False,xx́xxxx,False,False,False,False,Gen,Neut,Sing,,,,,,,
ἡμῶν,ἡμῶν,ἡμῶν,ἡμῶν,ῶν,η,-20.0,PRON,p-p---mg-,Case=Gen|Gender=Masc|Number=Plur,nmod,0.0,γένους,(),False,x̔xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἵνα᾽,(),False,",",False,True,False,False,,,,,,,,,,
ἵνα᾽,ἵνα᾽,ἵνα᾽,ἵνα᾽,να᾽,ι,-20.0,PUNCT,V-,,dep,0.0,ἐνεφύσησε,(),False,x̔́xx᾽,False,False,False,False,,,,,,,,,,
εἰ,εἰ,εἰ,εἰ,εἰ,ε,-20.0,SCONJ,c--------,,mark,0.0,θνητόν,(),False,xx̓,False,False,False,False,,,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,ADV,d--------,,advmod,0.0,θνητόν,(),False,xxx̀,False,False,False,False,,,,,,,,,,
θνητόν,θνητόν,θνητόνς,θνητόν,όν,θ,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,advcl,0.0,ἀθανατίζηται,(),False,xxxx́x,False,False,False,False,Nom,Neut,Sing,,,,,,,
ἐστι,ἐστι,ἐστι,ἐστι,στι,ε,-20.0,AUX,v3spia---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,cop,0.0,θνητόν,(),False,x̓xxx,False,False,False,False,,,Sing,Pres,Fin,Act,Ind,3,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μερίδα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,μερίδα,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ὁρατὴν,ὁρατὴν,ὁρατὴν,ὁρατὴν,ὴν,ο,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,μερίδα,(),False,x̔xxxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
μερίδα,μερίδα,μερίς,μερίδα,́δα,μ,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obl,0.0,θνητόν,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Sing,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,μερίδα,(),False,",",False,True,False,False,,,,,,,,,,
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,μερίδα,(),False,xxxx̀,False,False,False,False,,,,,,,,,,
γοῦν,γοῦν,γοῦν,γοῦν,ῦν,γ,-20.0,ADV,d--------,,advmod,0.0,ἀθανατίζηται,(),False,xxx͂x,False,False,False,False,,,,,,,,,,
τὴν,τὴν,τὴν,τὴν,ὴν,τ,-20.0,DET,l-s---fa-,Case=Acc|Gender=Fem|Number=Sing,det,0.0,ἀόρατον,(),False,xx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀόρατον,ἀόρατον,ἀόρατος,ἀόρατον,τον,α,-20.0,ADJ,a-s---fa-,Case=Acc|Gender=Fem|Number=Sing,obj,0.0,ἀθανατίζηται,(),False,x̓x́xxxx,False,False,False,False,Acc,Fem,Sing,,,,,,,
ἀθανατίζηται,ἀθανατίζηται,ἀθανατίζηται,ἀθανατίζηται,ται,α,-20.0,VERB,v3spie---,Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid,ROOT,0.0,ἀθανατίζηται,(),False,x̓xxxx́xxxx,False,False,False,False,,,Sing,Pres,Fin,Mid,Ind,3,,
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,ἀθανατίζηται,(),False,.,False,True,False,False,,,,,,,,,,
