orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Aspect,Tense,VerbForm,Voice,Degree,Mood,Person
γόνιμον,γόνιμον,γόνιμος,γόνιμον,μον,γ,-20.0,ADJ,a-s---na-,Case=Acc|Gender=Neut|Number=Sing,nmod,0.0,σπέρμα,(),False,xx́xxxx,False,False,False,False,Acc,Neut,Sing,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,καιρὸς,(),False,·,False,True,False,False,,,,,,,,,,
τρίτῃ,τρίτῃ,τρίτῃ,τρίτῃ,τῃ,τ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,αὔξησις,(),False,xxx́xxͅ,False,False,False,False,Nom,Fem,Sing,,,,,,,
δὲ,δὲ,δὲ,δὲ,δὲ,δ,-20.0,ADV,d--------,,advmod,0.0,αὔξησις,(),False,xx̀,False,False,False,False,,,,,,,,,,
γενείων,γενείων,γενείων,γενείων,́ων,γ,-20.0,NOUN,n-p---ng-,Case=Gen|Gender=Neut|Number=Plur,nmod,0.0,αὔξησις,(),False,xxxx́xx,False,False,False,False,Gen,Neut,Plur,,,,,,,
αὔξησις,αὔξησις,αὔξησις,αὔξησις,σις,α,-20.0,NOUN,n-s---fn-,Case=Nom|Gender=Fem|Number=Sing,ROOT,0.0,αὔξησις,"(ἐπίδοσις,)",False,xx̓́xxxx,False,False,False,False,Nom,Fem,Sing,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,αὔξησις,(),False,xxx̀,False,False,False,False,,,,,,,,,,
τετάρτῃ,τετάρτῃ,τετάρτῃ,τετάρτῃ,τῃ,τ,-20.0,ADJ,a-s---fn-,Case=Nom|Gender=Fem|Number=Sing,nmod,0.0,ἐπίδοσις,(),False,xxxx́xxxͅ,False,False,False,False,Nom,Fem,Sing,,,,,,,
πρὸς,πρὸς,πρὸς,πρὸς,ὸς,π,-20.0,ADP,r--------,,case,0.0,ἰσχὺν,(),False,xxx̀x,False,False,False,False,,,,,,,,,,
ἰσχὺν,ἰσχὺν,ἰσχὺ,ἰσχὺν,ὺν,ι,-20.0,NOUN,n-s---fa-,Case=Acc|Gender=Fem|Number=Sing,nmod,0.0,ἐπίδοσις,(),False,x̓xxx̀x,False,False,False,False,Acc,Fem,Sing,,,,,,,
