orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Tense,VerbForm,Voice,Aspect,Degree,Mood,Person
ὑπειπὼν,ὑπειπὼν,ὑπειπὼν,ὑπειπὼν,ὼν,υ,-20.0,VERB,v-sapamn-,Case=Nom|Gender=Masc|Number=Sing|Tense=Past|VerbForm=Part|Voice=Act,conj,0.0,χρὴ,"(χρὴ,)",False,x̔xxxx̀x,False,False,False,False,Nom,Masc,Sing,Past,Part,Act,,,,
μήτε᾽,μήτε᾽,μήτε᾽,μήτε᾽,τε᾽,μ,-20.0,PUNCT,V-,,dep,0.0,ἐποιήσατο,(),False,xx́xx᾽,False,False,False,False,,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀναγκαῖον,(),False,",",False,True,False,False,,,,,,,,,,
ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,ἐπειδὴ,δὴ,ε,-20.0,CCONJ,c--------,,mark,0.0,ἀναγκαῖον,(),False,x̓xxxx̀,False,False,False,False,,,,,,,,,,
προτυπῶσαι,προτυπῶσαι,προτυπῶζω,προτυπῶσαι,σαι,π,-20.0,VERB,v--ana---,Tense=Past|VerbForm=Inf|Voice=Act,csubj,0.0,ἀναγκαῖον,(),False,xxxx͂xxx,False,False,False,False,,,,Past,Inf,Act,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,διανοίας,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,
διανοίας,διανοίας,διανοία,διανοίας,́ας,δ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obj,0.0,προτυπῶσαι,(),False,xxxx́xx,False,False,False,False,Acc,Fem,Plur,,,,,,,
τῶν,τῶν,τῶν,τῶν,ῶν,τ,-20.0,DET,l-p---mg-,Case=Gen|Gender=Masc|Number=Plur,det,0.0,χρησομένων,(),False,xx͂x,False,False,False,False,Gen,Masc,Plur,,,,,,,
χρησομένων,χρησομένων,χρησομένων,χρησομένων,νων,χ,-20.0,VERB,v-pfpmmg-,Case=Gen|Gender=Masc|Number=Plur|Tense=Fut|VerbForm=Part|Voice=Mid,nmod,0.0,διανοίας,(),False,xxxx́xxx,False,False,False,False,Gen,Masc,Plur,Fut,Part,Mid,,,,
τοῖς,τοῖς,τοῖς,τοῖς,ῖς,τ,-20.0,DET,l-p---md-,Case=Dat|Gender=Masc|Number=Plur,det,0.0,νόμοις,(),False,xxx͂x,False,False,False,False,Dat,Masc,Plur,,,,,,,
νόμοις,νόμοις,νόμος,νόμοις,οις,ν,-20.0,NOUN,n-p---md-,Case=Dat|Gender=Masc|Number=Plur,obj,0.0,χρησομένων,(),False,xx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,
ἀναγκαῖον,ἀναγκαῖον,ἀναγκαῖος,ἀναγκαῖον,͂ον,α,-20.0,ADJ,a-s---nn-,Case=Nom|Gender=Neut|Number=Sing,amod,0.0,μωυσῆς,(),False,x̓xxxx͂xx,False,False,False,False,Nom,Neut,Sing,,,,,,,
