orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Case,Gender,Number,Person,PronType,Degree,Aspect,Tense,VerbForm,Voice,Mood
κατὰ,κατὰ,κατὰ,κατὰ,τὰ,κ,-20.0,ADP,r--------,,case,0.0,ὑπερβολάς,(),False,xxxx̀,False,False,False,False,,,,,,,,,,,
τὰς,τὰς,τὰς,τὰς,ὰς,τ,-20.0,DET,l-p---fa-,Case=Acc|Gender=Fem|Number=Plur,det,0.0,ὑπερβολάς,(),False,xx̀x,False,False,False,False,Acc,Fem,Plur,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἀμφοτέροις,(),False,x̓x,False,False,False,False,,,,,,,,,,,
ἀμφοτέροις,ἀμφοτέροις,ἀμφοτέρος,ἀμφοτέροις,οις,α,-20.0,ADJ,a-p---md-,Case=Dat|Gender=Masc|Number=Plur,nmod,0.0,ὑπερβολάς,(),False,x̓xxxx́xxxx,False,False,False,False,Dat,Masc,Plur,,,,,,,,
ὑπερβολάς,ὑπερβολάς,ὑπερβολάς,ὑπερβολάς,άς,υ,-20.0,NOUN,n-p---fa-,Case=Acc|Gender=Fem|Number=Plur,obl,0.0,διενεγκεῖν,(),False,x̔xxxx́x,False,False,False,False,Acc,Fem,Plur,,,,,,,,
·,·,·,·,·,·,-20.0,PUNCT,u--------,,punct,0.0,δοκεῖ,(),False,·,False,True,False,False,,,,,,,,,,,
ὁ,ὁ,ὁ,ὁ,ὁ,ο,-20.0,DET,l-s---mn-,Case=Nom|Gender=Masc|Number=Sing,det,0.0,οὗτος,(),False,x̔,False,False,False,False,Nom,Masc,Sing,,,,,,,,
γὰρ,γὰρ,γὰρ,γὰρ,ὰρ,γ,-20.0,ADV,d--------,,advmod,0.0,καλὸς,(),False,xx̀x,False,False,False,False,,,,,,,,,,,
ἀληθείᾳ,ἀληθείᾳ,ἀληθείᾳ,ἀληθείᾳ,́ᾳ,α,-20.0,NOUN,n-s---fd-,Case=Dat|Gender=Fem|Number=Sing,obl,0.0,καλὸς,(),False,x̓xxxx́xͅ,False,False,False,False,Dat,Fem,Sing,,,,,,,,
καλὸς,καλὸς,καλὸς,καλὸς,ὸς,κ,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,ROOT,0.0,καλὸς,"(ἀγαθὸς,)",False,xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
καὶ,καὶ,καὶ,καὶ,αὶ,κ,-20.0,CCONJ,c--------,,cc,0.0,καλὸς,(),False,xxx̀,False,False,False,False,,,,,,,,,,,
ἀγαθὸς,ἀγαθὸς,ἀγαθὸς,ἀγαθὸς,ὸς,α,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,conj,0.0,καλὸς,"(καλὸς,)",False,x̓xxxx̀x,False,False,False,False,Nom,Masc,Sing,,,,,,,,
οὗτος,οὗτος,οὗτος,οὗτος,τος,ο,-20.0,ADJ,a-s---mn-,Case=Nom|Gender=Masc|Number=Sing,nsubj,0.0,καλὸς,(),False,xx̔͂xxx,False,False,False,False,Nom,Masc,Sing,,,,,,,,
ὄντως,ὄντως,ὄντως,ὄντως,τως,ο,-20.0,ADV,d--------,,advmod,0.0,ἦν,(),False,x̓́xxxx,False,False,False,False,,,,,,,,,,,
ἦν,ἦν,ἦν,ἦν,̓͂ν,η,-20.0,AUX,v3siia---,Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Act,cop,0.0,καλὸς,(),False,x̓͂x,False,False,False,False,,,Sing,3,,,Imp,Past,Fin,Act,Ind
.,.,.,.,.,.,-20.0,PUNCT,u--------,,punct,0.0,καλὸς,(),False,.,False,True,False,False,,,,,,,,,,,
