orth,text,lemma,norm,suffix,prefix,prob,pos,tag,morph,dep,sentiment,head,conjuncts,is_stop,shape,is_alpha,is_punct,like_num,is_space,Aspect,Case,Gender,Number,Tense,VerbForm,Voice,Definite,PronType,Mood,Person,Degree,Polarity
παραδείγματι,παραδείγματι,παραδείγματι,παραδείγματι,ατι,π,-20.0,NOUN,n-s---nd-,Case=Dat|Gender=Neut|Number=Sing,obj,0.0,ἀπεργάσηται,(),False,xxxx́xxxx,False,False,False,False,,Dat,Neut,Sing,,,,,,,,,
τὸν,τὸν,τὸν,τὸν,ὸν,τ,-20.0,DET,l-s---ma-,Case=Acc|Gender=Masc|Number=Sing,det,0.0,σωματικὸν,(),False,xx̀x,False,False,False,False,,Acc,Masc,Sing,,,,,,,,,
σωματικὸν,σωματικὸν,σωματικὸν,σωματικὸν,ὸν,σ,-20.0,ADJ,a-s---ma-,Case=Acc|Gender=Masc|Number=Sing,obj,0.0,ἀπεργάσηται,(),False,xxxx̀x,False,False,False,False,,Acc,Masc,Sing,,,,,,,,,
ἀπεργάσηται,ἀπεργάσηται,ἀπεργάσομαι,ἀπεργάσηται,ται,α,-20.0,VERB,v3sasm---,Mood=Sub|Number=Sing|Person=3|Tense=Past|VerbForm=Fin|Voice=Mid,advcl,0.0,προεξετύπου,(),False,x̓xxxx́xxxx,False,False,False,False,,,,Sing,Past,Fin,Mid,,,Sub,3,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,ἀπεικόνισμα,(),False,",",False,True,False,False,,,,,,,,,,,,,
πρεσβυτέρου,πρεσβυτέρου,πρεσβυτέρου,πρεσβυτέρου,ρου,π,-20.0,ADJ,A-,Case=Gen|Degree=Cmp|Gender=Masc|Number=Sing,nmod,0.0,ἀπεικόνισμα,(),False,xxxx́xxx,False,False,False,False,,Gen,Masc,Sing,,,,,,,,Cmp,
νεώτερον,νεώτερον,νεώς,νεώτερον,ρον,ν,-20.0,ADJ,A-,Case=Acc|Degree=Cmp|Gender=Neut|Number=Sing,nmod,0.0,ἀπεικόνισμα,(),False,xxx́xxxx,False,False,False,False,,Acc,Neut,Sing,,,,,,,,Cmp,
ἀπεικόνισμα,ἀπεικόνισμα,ἀπεικόνισμα,ἀπεικόνισμα,σμα,α,-20.0,NOUN,n-s---na-,Case=Acc|Gender=Neut|Number=Sing,appos,0.0,παραδείγματι,(),False,x̓xxxx́xxxx,False,False,False,False,,Acc,Neut,Sing,,,,,,,,,
",",",",",",",",",",",",-20.0,PUNCT,u--------,,punct,0.0,νοητά.,(),False,",",False,True,False,False,,,,,,,,,,,,,
τοσαῦτα,τοσαῦτα,τοσαῦτος,τοσαῦτα,͂τα,τ,-20.0,ADJ,Pd,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,περιέξοντα,(),False,xxxx͂xx,False,False,False,False,,Acc,Neut,Plur,,,,,,,,,
περιέξοντα,περιέξοντα,περιέξοντα,περιέξοντα,ντα,π,-20.0,VERB,V-,Case=Acc|Gender=Neut|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act,ccomp,0.0,νοητά.,(),False,xxxx́xxxx,False,False,False,False,,Acc,Neut,Plur,Pres,Part,Act,,,,,,
αἰσθητὰ,αἰσθητὰ,αἰσθητὰ,αἰσθητὰ,τὰ,α,-20.0,ADJ,A-,Case=Acc|Degree=Pos|Gender=Neut|Number=Plur,amod,0.0,γένη,(),False,xx̓xxxx̀,False,False,False,False,,Acc,Neut,Plur,,,,,,,,Pos,
γένη,γένη,γένος,γένη,́νη,γ,-20.0,NOUN,n-p---na-,Case=Acc|Gender=Neut|Number=Plur,obj,0.0,περιέξοντα,(),False,xx́xx,False,False,False,False,,Acc,Neut,Plur,,,,,,,,,
ὅσαπερ,ὅσαπερ,ὅσαπερ,ὅσαπερ,περ,ο,-20.0,ADJ,p-p---nn-,Case=Nom|Gender=Neut|Number=Plur,dep,0.0,γένη,(),False,x̔́xxxx,False,False,False,False,,Nom,Neut,Plur,,,,,,,,,
ἐν,ἐν,ἐν,ἐν,ἐν,ε,-20.0,ADP,r--------,,case,0.0,ἐκείνῳ,(),False,x̓x,False,False,False,False,,,,,,,,,,,,,
ἐκείνῳ,ἐκείνῳ,ἐκείνῳ,ἐκείνῳ,νῳ,ε,-20.0,ADJ,a-s---md-,Case=Dat|Gender=Masc|Number=Sing,fixed,0.0,ὅσαπερ,(),False,x̓xxx́xxͅ,False,False,False,False,,Dat,Masc,Sing,,,,,,,,,
νοητά.,νοητά.,νοητά.,νοητά.,ά.,ν,-20.0,ADJ,A-,Case=Nom|Degree=Pos|Gender=Neut|Number=Plur,conj,0.0,καλοῦ,"(καλοῦ,)",False,xxxx́.,False,False,False,False,,Nom,Neut,Plur,,,,,,,,Pos,
